Mask No,PRODUCT_NAME,LEASE_TENOR_INCLUDING_HP_cluster,VEHICLE_AGE,YOM,LEASE_TENOR_INCLUDING_HP,TOTAL INCOME_NUM,TOTAL INCOME,CUSTOMER AGE,Exp,Sub_purpose_code_based_on_risk,CRIB_SCORE,Percentage_of_Total_Current_Balance_to_Total_Amount_Granted_Limit_slabs,Percentage_of_Total_Arrears_Amount_to_Total_Amount_Granted_Limit_slabs,Percentage_of_Total_Installments_to_Total_Current_Balance_slabs,Cluster
1328,Three Wheeler-Lease-Registered,48-60,14,2010,49,60000,60000-80000,41,0.459389793,Low_risk_sub_purpose_code,20-40,less than 50 percentage,less than 1 percentage,between 5- 10 percentage,Red
1329,Three Wheeler-Lease-Registered,60+,18,2006,61,90000,80000-100000,41,0.664452857,Medium_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
1330,CASH IN HAND,36-48,9,2015,37,250000,120000+,51,0.541530941,Low_risk_sub_purpose_code,Missing,less than 50 percentage,less than 1 percentage,Missing,Green
1332,Three Wheeler-Lease-Registered,24-36,18,2006,31,100000,100000-120000,23,0.839941429,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
1333,Three Wheeler-Lease-Registered,48-60,14,2010,49,150000,120000+,40,0.582977169,Low_risk_sub_purpose_code,Missing,between 150 - 200 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
1334,Three Wheeler-Lease-Registered,60+,14,2010,61,160000,120000+,24,0.621512329,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
1335,Three Wheeler-Lease-Registered,24-36,9,2015,31,200000,120000+,39,0.666099844,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,between 1 - 5 percentage,above 10 percentage,Green
1336,Three Wheeler-Lease-Registered,36-48,14,2010,37,170000,120000+,47,0.57860462,Low_risk_sub_purpose_code,Missing,less than 50 percentage,less than 1 percentage,Missing,Green
1337,CASH IN HAND,24-36,11,2013,25,100000,100000-120000,34,0.518033654,Low_risk_sub_purpose_code,Missing,between 50 - 100 percentage,less than 1 percentage,between 5- 10 percentage,Green
1338,CASH IN HAND,48-60,11,2013,49,100000,100000-120000,49,0.68988381,Low_risk_sub_purpose_code,Missing,between 100 - 150 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
1339,CASH IN HAND,60+,14,2010,61,80000,80000-100000,34,0.79629131,Low_risk_sub_purpose_code,Missing,between 50 - 100 percentage,less than 1 percentage,between 5- 10 percentage,Red
1340,Three Wheeler-Lease-Registered,48-60,12,2012,49,100000,100000-120000,62,0.632787317,Medium_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
