Mask No,PRODUCT_NAME,LEASE_TENOR_INCLUDING_HP_cluster,VEHICLE_AGE,YOM,LEASE_TENOR_INCLUDING_HP,TOTAL INCOME_NUM,TOTAL INCOME,CUSTOMER AGE,Exp,Sub_purpose_code_based_on_risk,CRIB_SCORE,Percentage_of_Total_Current_Balance_to_Total_Amount_Granted_Limit_slabs,Percentage_of_Total_Arrears_Amount_to_Total_Amount_Granted_Limit_slabs,Percentage_of_Total_Installments_to_Total_Current_Balance_slabs,Cluster
6938,Three Wheeler-Lease-Registered,36-48,12,2012,37,100000,100000-120000,30,0.582861714,Low_risk_sub_purpose_code,Missing,between 100 - 150 percentage,between 1 - 5 percentage,less than 2 percentage,Green
6939,Three Wheeler-Lease-Registered,48-60,14,2010,55,60000,60000-80000,35,0.54531651,Medium_risk_sub_purpose_code,60-80,between 100 - 150 percentage,between 5 - 10 percentage,between 2- 5 percentage,Green
6940,Three Wheeler-Lease-Registered,36-48,14,2010,37,150000,120000+,27,0.615347059,Low_risk_sub_purpose_code,0-20,between 100 - 150 percentage,less than 1 percentage,between 2- 5 percentage,Green
6941,Three Wheeler-Lease-Registered,24-36,12,2012,25,80000,80000-100000,47,0.484568913,Low_risk_sub_purpose_code,0-20,Missing,Missing,Missing,Green
6942,Three Wheeler-Lease-Registered,48-60,12,2012,49,120000,120000+,20,0.612329787,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
6943,Three Wheeler-Lease-Registered,48-60,9,2015,49,80000,80000-100000,44,0.623383099,Low_risk_sub_purpose_code,20-40,Missing,Missing,Missing,Red
6944,Three Wheeler-Lease-Registered,48-60,14,2010,49,80000,80000-100000,32,0.66791,Low_risk_sub_purpose_code,20-40,Missing,Missing,Missing,Red
6945,Three Wheeler-Lease-Registered,48-60,12,2012,49,75000,60000-80000,26,0.647553039,Low_risk_sub_purpose_code,0-20,Missing,Missing,Missing,Green
6946,CASH IN HAND,60+,9,2015,61,75000,60000-80000,34,0.752949763,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Red
6947,CASH IN HAND,60+,15,2009,61,100000,100000-120000,31,0.805448175,Medium_risk_sub_purpose_code,Missing,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
6948,CASH IN HAND,36-48,14,2010,37,100000,100000-120000,35,0.546088828,Medium_risk_sub_purpose_code,20-40,between 50 - 100 percentage,between 5 - 10 percentage,between 2- 5 percentage,Red
6949,CASH IN HAND,36-48,13,2011,37,100000,100000-120000,37,0.648258794,Low_risk_sub_purpose_code,0-20,less than 50 percentage,between 5 - 10 percentage,above 10 percentage,Green
6950,Three Wheeler-Lease-Registered,36-48,14,2010,37,80000,80000-100000,41,0.622115068,Low_risk_sub_purpose_code,20-40,between 50 - 100 percentage,between 10 - 15 percentage,between 5- 10 percentage,Green
6951,Three Wheeler-Lease-Registered,36-48,17,2007,43,75000,60000-80000,55,0.519058824,Medium_risk_sub_purpose_code,20-40,Missing,Missing,Missing,Green
6952,Three Wheeler-Lease-Registered,36-48,16,2008,37,100000,100000-120000,20,0.628170323,Low_risk_sub_purpose_code,Missing,between 150 - 200 percentage,less than 1 percentage,between 2- 5 percentage,Red
6953,Three Wheeler-Lease-Registered,24-36,13,2011,25,80000,80000-100000,40,0.29958925,Low_risk_sub_purpose_code,0-20,Missing,Missing,Missing,Green
6954,Three Wheeler-Lease-Registered,60+,10,2014,61,100000,100000-120000,23,0.622068758,Low_risk_sub_purpose_code,Missing,between 150 - 200 percentage,between 5 - 10 percentage,less than 2 percentage,Red
6955,Three Wheeler-Lease-Registered,36-48,11,2013,37,100000,100000-120000,22,0.596379275,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
6956,Three Wheeler-Lease-Registered,36-48,18,2006,37,100000,100000-120000,49,0.614622061,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
6957,Three Wheeler-Lease-Registered,36-48,13,2011,37,100000,100000-120000,34,0.591221106,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
6958,Three Wheeler-Lease-Registered,60+,12,2012,61,75000,60000-80000,18,0.645885578,Low_risk_sub_purpose_code,Missing,above 200 percentage,less than 1 percentage,less than 2 percentage,Green
6959,Three Wheeler-Lease-Registered,60+,13,2011,61,100000,100000-120000,28,0.583616834,Low_risk_sub_purpose_code,20-40,Missing,Missing,Missing,Red
6961,CASH IN HAND,36-48,13,2011,37,150000,120000+,37,0.523069935,Low_risk_sub_purpose_code,60-80,less than 50 percentage,between 1 - 5 percentage,between 5- 10 percentage,Red
6962,CASH IN HAND,24-36,10,2014,25,125000,120000+,30,0.594046243,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,between 1 - 5 percentage,above 10 percentage,Green
6963,CASH IN HAND,24-36,9,2015,25,150000,120000+,37,0.846814783,Medium_risk_sub_purpose_code,60-80,less than 50 percentage,between 10 - 15 percentage,between 5- 10 percentage,Green
6964,CASH IN HAND,36-48,18,2006,37,100000,100000-120000,40,0.448692857,Low_risk_sub_purpose_code,20-40,between 50 - 100 percentage,less than 1 percentage,between 5- 10 percentage,Green
6965,Three Wheeler-Lease-Registered,48-60,9,2015,49,50000,40000-60000,39,0.271353913,Low_risk_sub_purpose_code,20-40,between 100 - 150 percentage,above 15 percentage,less than 2 percentage,Green
6966,CASH IN HAND,60+,13,2011,61,130000,120000+,30,0.621386139,Low_risk_sub_purpose_code,40-60,less than 50 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
6967,CASH IN HAND,24-36,18,2006,25,125000,120000+,46,0.621325497,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
6968,Three Wheeler-Lease-Registered,48-60,13,2011,49,200000,120000+,25,0.64534799,Low_risk_sub_purpose_code,20-40,Missing,Missing,Missing,Green
6969,CASH IN HAND,60+,9,2015,73,60000,60000-80000,39,0.607813043,Low_risk_sub_purpose_code,Missing,between 50 - 100 percentage,above 15 percentage,between 5- 10 percentage,Green
6970,Three Wheeler-Lease-Registered,36-48,18,2006,37,100000,100000-120000,39,0.836188571,Medium_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Red
6971,CASH IN HAND,36-48,13,2011,37,60000,60000-80000,59,0.393090452,Low_risk_sub_purpose_code,0-20,between 50 - 100 percentage,less than 1 percentage,between 5- 10 percentage,Green
6973,CASH IN HAND,< 24,12,2012,19,65000,60000-80000,51,0.130976366,Low_risk_sub_purpose_code,20-40,Missing,Missing,Missing,Green
6974,CASH IN HAND,24-36,7,2017,25,120000,120000+,35,0.73147563,Low_risk_sub_purpose_code,60-80,between 50 - 100 percentage,above 15 percentage,between 5- 10 percentage,Red
6975,CASH IN HAND,48-60,9,2015,49,80000,80000-100000,44,0.629960526,Low_risk_sub_purpose_code,Missing,between 150 - 200 percentage,above 15 percentage,between 2- 5 percentage,Red
6976,Three Wheeler-Lease-Registered,48-60,11,2013,49,150000,120000+,50,0.658396028,Low_risk_sub_purpose_code,40-60,between 50 - 100 percentage,between 1 - 5 percentage,less than 2 percentage,Green
6977,Three Wheeler-Lease-Registered,24-36,8,2016,25,85000,80000-100000,34,0.611490176,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Red
6978,CASH IN HAND,36-48,18,2006,37,120000,120000+,47,0.565524412,Low_risk_sub_purpose_code,60-80,between 50 - 100 percentage,less than 1 percentage,between 5- 10 percentage,Green
6980,CASH IN HAND,48-60,12,2012,49,75000,60000-80000,57,0.64725353,Low_risk_sub_purpose_code,20-40,less than 50 percentage,less than 1 percentage,Missing,Red
6981,CASH IN HAND,36-48,7,2017,37,300000,120000+,59,0.436229167,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,less than 1 percentage,less than 2 percentage,Green
6982,Three Wheeler-Lease-Registered,48-60,15,2009,49,100000,100000-120000,41,0.621375522,Low_risk_sub_purpose_code,20-40,less than 50 percentage,less than 1 percentage,above 10 percentage,Red
6983,CASH IN HAND,60+,10,2014,61,50000,40000-60000,48,0.637323468,Medium_risk_sub_purpose_code,20-40,between 50 - 100 percentage,between 10 - 15 percentage,between 2- 5 percentage,Red
6984,CASH IN HAND,48-60,12,2012,49,65000,60000-80000,41,0.520401951,Low_risk_sub_purpose_code,below 0,less than 50 percentage,between 10 - 15 percentage,above 10 percentage,Green
6985,CASH IN HAND,60+,7,2017,61,80000,80000-100000,52,0.6767325,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Red
6986,CASH IN HAND,48-60,9,2015,49,60000,60000-80000,25,0.331802844,Low_risk_sub_purpose_code,60-80,less than 50 percentage,less than 1 percentage,above 10 percentage,Red
6988,Three Wheeler-Lease-Registered,60+,18,2006,60,180000,120000+,40,0.935799364,Low_risk_sub_purpose_code,Missing,between 100 - 150 percentage,less than 1 percentage,between 2- 5 percentage,Green
6989,Three Wheeler-Lease-Registered,24-36,16,2008,25,150000,120000+,65,0.588707472,Low_risk_sub_purpose_code,20-40,between 50 - 100 percentage,between 5 - 10 percentage,between 5- 10 percentage,Red
6990,CASH IN HAND,24-36,14,2010,25,150000,120000+,53,0.278518812,Low_risk_sub_purpose_code,20-40,less than 50 percentage,less than 1 percentage,Missing,Green
6991,CASH IN HAND,60+,13,2011,61,95000,80000-100000,63,0.643532663,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Red
6992,Three Wheeler-Lease-Registered,< 24,10,2014,19,60000,60000-80000,43,0.274482312,Low_risk_sub_purpose_code,0-20,between 50 - 100 percentage,above 15 percentage,between 5- 10 percentage,Green
6993,Three Wheeler-Lease-Registered,36-48,12,2012,37,100000,100000-120000,55,0.660920976,Medium_risk_sub_purpose_code,40-60,less than 50 percentage,between 1 - 5 percentage,between 5- 10 percentage,Red
6994,CASH IN HAND,36-48,9,2015,37,75000,60000-80000,28,0.707401739,Medium_risk_sub_purpose_code,60-80,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
6995,CASH IN HAND,60+,9,2015,61,500000,120000+,39,0.655587826,Medium_risk_sub_purpose_code,Missing,less than 50 percentage,less than 1 percentage,above 10 percentage,Green
6996,CASH IN HAND,48-60,7,2017,49,80000,80000-100000,24,0.695604167,Medium_risk_sub_purpose_code,Above 80,less than 50 percentage,less than 1 percentage,above 10 percentage,Green
6997,CASH IN HAND,60+,9,2015,61,450000,120000+,35,0.67532,Medium_risk_sub_purpose_code,40-60,between 100 - 150 percentage,between 1 - 5 percentage,between 2- 5 percentage,Red
6998,CASH IN HAND,24-36,12,2012,31,60000,60000-80000,30,0.279380851,Low_risk_sub_purpose_code,40-60,less than 50 percentage,less than 1 percentage,Missing,Green
7000,Three Wheeler-Lease-Registered,48-60,17,2007,49,65000,60000-80000,22,0.591107227,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Red
7001,Three Wheeler-Lease-Registered,< 24,14,2010,19,70000,60000-80000,22,0.292542282,Medium_risk_sub_purpose_code,Missing,less than 50 percentage,between 1 - 5 percentage,between 5- 10 percentage,Red
7004,CASH IN HAND,48-60,10,2014,49,90000,80000-100000,57,0.480171098,Medium_risk_sub_purpose_code,60-80,less than 50 percentage,less than 1 percentage,between 5- 10 percentage,Green
7005,Three Wheeler-Lease-Registered,24-36,20,2004,25,100000,100000-120000,25,0.563889362,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,less than 1 percentage,above 10 percentage,Green
7006,Three Wheeler-Lease-Registered,48-60,9,2015,49,100000,100000-120000,25,0.58828,Low_risk_sub_purpose_code,Missing,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
7007,Three Wheeler-Lease-Registered,24-36,11,2013,29,85000,80000-100000,62,0.475778095,Low_risk_sub_purpose_code,Missing,between 50 - 100 percentage,less than 1 percentage,between 5- 10 percentage,Green
7008,Three Wheeler-Lease-Registered,36-48,8,2016,37,100000,100000-120000,52,0.627505608,Low_risk_sub_purpose_code,Missing,between 50 - 100 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
7010,Three Wheeler-Lease-Registered,36-48,12,2012,37,85000,80000-100000,40,0.460326823,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
7011,Three Wheeler-Lease-Registered,48-60,17,2007,49,120000,120000+,46,0.615823909,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
7012,Three Wheeler-Lease-Registered,24-36,12,2012,25,55000,40000-60000,22,0.346779499,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
7013,CASH IN HAND,< 24,13,2011,19,120000,120000+,65,0.268511307,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
7015,CASH IN HAND,< 24,11,2013,19,120000,120000+,41,0.617592379,Low_risk_sub_purpose_code,20-40,between 50 - 100 percentage,less than 1 percentage,between 5- 10 percentage,Green
7016,CASH IN HAND,< 24,9,2015,13,70000,60000-80000,53,0.11450442,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
7017,CASH IN HAND,24-36,11,2013,31,50000,40000-60000,33,0.400179048,Medium_risk_sub_purpose_code,below 0,less than 50 percentage,between 1 - 5 percentage,above 10 percentage,Green
7018,CASH IN HAND,48-60,9,2015,49,150000,120000+,59,0.4329922,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,less than 1 percentage,above 10 percentage,Green
7019,CASH IN HAND,24-36,12,2012,25,60000,60000-80000,60,0.314942789,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,between 1 - 5 percentage,above 10 percentage,Green
7022,Three Wheeler-Lease-Registered,36-48,18,2006,37,70000,60000-80000,33,0.6833,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,between 5 - 10 percentage,above 10 percentage,Red
7023,Three Wheeler-Lease-Registered,48-60,14,2010,49,75000,60000-80000,26,0.716882566,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
7024,Three Wheeler-Lease-Registered,48-60,18,2006,49,40000,40000-60000,22,0.82982973,Medium_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Red
7025,Three Wheeler-Lease-Registered,24-36,17,2007,25,600000,120000+,39,0.35007155,Medium_risk_sub_purpose_code,20-40,less than 50 percentage,less than 1 percentage,Missing,Green
7027,Three Wheeler-Lease-Registered,48-60,14,2010,49,50000,40000-60000,18,0.55882094,Low_risk_sub_purpose_code,Missing,between 100 - 150 percentage,less than 1 percentage,between 2- 5 percentage,Green
7028,Three Wheeler-Lease-Registered,36-48,10,2014,43,65000,60000-80000,21,0.606486012,Low_risk_sub_purpose_code,Missing,between 100 - 150 percentage,less than 1 percentage,between 2- 5 percentage,Green
7029,CASH IN HAND,36-48,15,2009,37,50000,40000-60000,48,0.555909635,Low_risk_sub_purpose_code,Missing,between 100 - 150 percentage,less than 1 percentage,between 2- 5 percentage,Green
7030,Three Wheeler-Lease-Registered,60+,14,2010,61,60000,60000-80000,36,0.574742681,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
7031,Three Wheeler-Lease-Registered,24-36,13,2011,31,75000,60000-80000,29,0.3569686,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
7032,Three Wheeler-Lease-Registered,24-36,9,2015,25,100000,100000-120000,31,0.32334554,Low_risk_sub_purpose_code,0-20,less than 50 percentage,between 5 - 10 percentage,above 10 percentage,Green
7033,Three Wheeler-Lease-Registered,48-60,11,2013,49,70000,60000-80000,33,0.619437306,Low_risk_sub_purpose_code,20-40,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
7034,Three Wheeler-Lease-Registered,36-48,13,2011,37,100000,100000-120000,42,0.650698492,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
7035,CASH IN HAND,60+,11,2013,61,150000,120000+,56,0.645288684,Low_risk_sub_purpose_code,Missing,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
7036,Three Wheeler-Lease-Registered,48-60,17,2007,49,100000,100000-120000,38,0.618384301,Low_risk_sub_purpose_code,20-40,Missing,Missing,Missing,Green
7037,Three Wheeler-Lease-Registered,36-48,17,2007,37,150000,120000+,28,0.511422731,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
7038,Three Wheeler-Lease-Registered,24-36,5,2019,25,150000,120000+,37,0.613042042,Low_risk_sub_purpose_code,20-40,less than 50 percentage,less than 1 percentage,above 10 percentage,Green
7039,CASH IN HAND,48-60,6,2018,49,100000,100000-120000,33,0.615732782,Low_risk_sub_purpose_code,Missing,between 100 - 150 percentage,between 10 - 15 percentage,between 2- 5 percentage,Green
7040,CASH IN HAND,24-36,12,2012,25,80000,80000-100000,42,0.64819644,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
7041,CASH IN HAND,24-36,7,2017,25,80000,80000-100000,42,0.285232287,Low_risk_sub_purpose_code,20-40,less than 50 percentage,above 15 percentage,above 10 percentage,Green
7042,CASH IN HAND,36-48,13,2011,37,100000,100000-120000,53,0.779747666,Low_risk_sub_purpose_code,Missing,between 50 - 100 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
7043,Three Wheeler-Lease-Registered,48-60,13,2011,49,100000,100000-120000,25,0.697523613,Medium_risk_sub_purpose_code,20-40,between 50 - 100 percentage,above 15 percentage,between 5- 10 percentage,Red
7044,CASH IN HAND,48-60,13,2011,49,100000,100000-120000,33,0.623818953,Low_risk_sub_purpose_code,20-40,less than 50 percentage,between 10 - 15 percentage,between 5- 10 percentage,Red
7045,CASH IN HAND,60+,14,2010,61,70000,60000-80000,51,0.79248331,Medium_risk_sub_purpose_code,60-80,between 50 - 100 percentage,less than 1 percentage,between 5- 10 percentage,Green
7046,CASH IN HAND,48-60,9,2015,49,100000,100000-120000,59,0.830217391,Medium_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Red
7047,CASH IN HAND,48-60,9,2015,49,130000,120000+,33,0.757976522,Low_risk_sub_purpose_code,20-40,between 100 - 150 percentage,between 5 - 10 percentage,between 2- 5 percentage,Red
7048,CASH IN HAND,60+,9,2015,61,60000,60000-80000,50,0.517565217,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,less than 1 percentage,above 10 percentage,Green
7049,Three Wheeler-Lease-Registered,60+,8,2016,61,90000,80000-100000,42,0.699160212,Low_risk_sub_purpose_code,Missing,between 150 - 200 percentage,less than 1 percentage,between 2- 5 percentage,Green
7050,Three Wheeler-Lease-Registered,60+,15,2009,61,35000,< 40000,18,0.827266304,Medium_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Red
7051,Three Wheeler-Lease-Registered,24-36,13,2011,25,80000,80000-100000,37,0.264385032,Low_risk_sub_purpose_code,20-40,between 100 - 150 percentage,less than 1 percentage,between 2- 5 percentage,Green
7052,CASH IN HAND,24-36,14,2010,25,100000,100000-120000,51,0.387256012,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,less than 1 percentage,above 10 percentage,Green
7053,CASH IN HAND,48-60,8,2016,49,100000,100000-120000,45,0.56898244,Low_risk_sub_purpose_code,40-60,less than 50 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
7054,Three Wheeler-Lease-Registered,48-60,8,2016,49,300000,120000+,34,0.61677291,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,less than 1 percentage,above 10 percentage,Red
7055,CASH IN HAND,48-60,11,2013,49,1200000,120000+,43,0.646008083,Low_risk_sub_purpose_code,20-40,less than 50 percentage,between 5 - 10 percentage,above 10 percentage,Red
7056,Three Wheeler-Lease-Registered,< 24,14,2010,19,600000,120000+,25,0.459365017,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
7057,CASH IN HAND,24-36,13,2011,25,75000,60000-80000,50,0.239912871,Low_risk_sub_purpose_code,Missing,between 100 - 150 percentage,between 5 - 10 percentage,between 2- 5 percentage,Green
7058,CASH IN HAND,24-36,13,2011,25,70000,60000-80000,32,0.635768034,Low_risk_sub_purpose_code,60-80,less than 50 percentage,less than 1 percentage,between 5- 10 percentage,Green
7059,Three Wheeler-Lease-Registered,36-48,12,2012,37,50000,40000-60000,58,0.705816781,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
7060,Three Wheeler-Lease-Registered,24-36,13,2011,25,70000,60000-80000,42,0.636067862,Low_risk_sub_purpose_code,60-80,less than 50 percentage,between 5 - 10 percentage,between 5- 10 percentage,Green
7061,Three Wheeler-Lease-Registered,24-36,13,2011,25,100000,100000-120000,25,0.653513819,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,less than 1 percentage,between 5- 10 percentage,Green
7062,Three Wheeler-Lease-Registered,48-60,14,2010,49,70000,60000-80000,43,0.768122483,Medium_risk_sub_purpose_code,0-20,Missing,Missing,Missing,Green
7063,Three Wheeler-Lease-Registered,24-36,14,2010,25,200000,120000+,39,0.387256012,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,between 1 - 5 percentage,less than 2 percentage,Green
7064,Three Wheeler-Lease-Registered,24-36,11,2013,31,70000,60000-80000,21,0.658188222,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
7065,Three Wheeler-Lease-Registered,36-48,13,2011,43,100000,100000-120000,54,0.688237333,Low_risk_sub_purpose_code,40-60,less than 50 percentage,less than 1 percentage,Missing,Green
7066,Three Wheeler-Lease-Registered,36-48,14,2010,37,90000,80000-100000,26,0.405139726,Low_risk_sub_purpose_code,Missing,less than 50 percentage,between 1 - 5 percentage,above 10 percentage,Green
7067,Three Wheeler-Lease-Registered,36-48,9,2015,37,150000,120000+,24,0.50125913,Medium_risk_sub_purpose_code,60-80,between 100 - 150 percentage,between 5 - 10 percentage,between 2- 5 percentage,Green
7068,Three Wheeler-Lease-Registered,24-36,9,2015,25,150000,120000+,52,0.322395652,Medium_risk_sub_purpose_code,Above 80,less than 50 percentage,less than 1 percentage,above 10 percentage,Green
7069,Three Wheeler-Lease-Registered,36-48,14,2010,37,100000,100000-120000,23,0.625040761,Low_risk_sub_purpose_code,Missing,between 50 - 100 percentage,less than 1 percentage,between 5- 10 percentage,Red
7072,Three Wheeler-Lease-Registered,< 24,10,2014,19,150000,120000+,65,0.643433877,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Red
7073,Three Wheeler-Lease-Registered,60+,8,2016,61,200000,120000+,37,0.65862739,Low_risk_sub_purpose_code,Missing,between 100 - 150 percentage,less than 1 percentage,less than 2 percentage,Red
7075,Three Wheeler-Lease-Registered,24-36,12,2012,25,120000,120000+,32,0.413702439,Low_risk_sub_purpose_code,60-80,less than 50 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
7076,Three Wheeler-Lease-Registered,36-48,13,2011,37,150000,120000+,44,0.280987871,Low_risk_sub_purpose_code,20-40,less than 50 percentage,above 15 percentage,above 10 percentage,Red
7077,CASH IN HAND,60+,12,2012,73,60000,60000-80000,64,0.554136585,Medium_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Red
7078,Three Wheeler-Lease-Registered,60+,13,2011,61,115000,100000-120000,30,0.828906323,Medium_risk_sub_purpose_code,60-80,between 50 - 100 percentage,between 10 - 15 percentage,between 5- 10 percentage,Red
7079,Three Wheeler-Lease-Registered,60+,11,2013,73,100000,100000-120000,46,0.826166667,Medium_risk_sub_purpose_code,60-80,between 50 - 100 percentage,between 1 - 5 percentage,less than 2 percentage,Red
7080,Three Wheeler-Lease-Registered,24-36,12,2012,25,150000,120000+,47,0.46541561,Low_risk_sub_purpose_code,Missing,between 50 - 100 percentage,less than 1 percentage,between 5- 10 percentage,Green
7081,Three Wheeler-Lease-Registered,36-48,14,2010,46,80000,80000-100000,55,0.606063927,Low_risk_sub_purpose_code,Missing,between 100 - 150 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
7082,Three Wheeler-Lease-Registered,48-60,12,2012,49,250000,120000+,47,0.619323404,Low_risk_sub_purpose_code,Missing,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
7083,CASH IN HAND,36-48,8,2016,37,100000,100000-120000,32,0.194342393,Low_risk_sub_purpose_code,20-40,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
7084,Three Wheeler-Lease-Registered,24-36,10,2014,25,150000,120000+,48,0.554739048,Low_risk_sub_purpose_code,Missing,less than 50 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
7085,Three Wheeler-Lease-Registered,48-60,9,2015,49,100000,100000-120000,44,0.614961502,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
7086,Three Wheeler-Lease-Registered,48-60,9,2015,49,150000,120000+,35,0.660615705,Low_risk_sub_purpose_code,20-40,less than 50 percentage,less than 1 percentage,Missing,Green
7087,CASH IN HAND,24-36,9,2015,25,90000,80000-100000,31,0.253869298,Low_risk_sub_purpose_code,20-40,less than 50 percentage,between 5 - 10 percentage,above 10 percentage,Red
7088,CASH IN HAND,36-48,9,2015,37,80000,80000-100000,43,0.411337441,Low_risk_sub_purpose_code,Missing,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
7089,Three Wheeler-Lease-Registered,48-60,19,2005,49,45000,40000-60000,21,0.830696075,High_risk_sub_purpose_code,Missing,between 100 - 150 percentage,less than 1 percentage,between 2- 5 percentage,Red
7090,CASH IN HAND,48-60,10,2014,49,30000,< 40000,53,0.518884624,Medium_risk_sub_purpose_code,60-80,less than 50 percentage,above 15 percentage,above 10 percentage,Green
7091,Three Wheeler-Lease-Registered,60+,9,2015,61,100000,100000-120000,59,0.618174648,Low_risk_sub_purpose_code,20-40,between 50 - 100 percentage,between 5 - 10 percentage,between 2- 5 percentage,Green
7092,Three Wheeler-Lease-Registered,48-60,12,2012,49,50000,40000-60000,55,0.536692553,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
7093,CASH IN HAND,48-60,17,2007,49,60000,60000-80000,44,0.623719165,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,between 1 - 5 percentage,above 10 percentage,Green
7094,Three Wheeler-Lease-Registered,48-60,5,2019,49,80000,80000-100000,44,0.519108108,Low_risk_sub_purpose_code,Missing,between 50 - 100 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
7095,CASH IN HAND,60+,12,2012,61,80000,80000-100000,32,0.78044478,Low_risk_sub_purpose_code,below 0,between 50 - 100 percentage,between 5 - 10 percentage,between 2- 5 percentage,Red
7096,CASH IN HAND,36-48,12,2012,37,70000,60000-80000,36,0.305096585,Medium_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
7097,CASH IN HAND,24-36,6,2018,25,140000,120000+,60,0.673187627,Low_risk_sub_purpose_code,60-80,less than 50 percentage,between 5 - 10 percentage,above 10 percentage,Green
7098,CASH IN HAND,48-60,6,2018,49,14000,< 40000,30,0.730099692,Medium_risk_sub_purpose_code,60-80,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
7100,CASH IN HAND,24-36,11,2013,25,80000,80000-100000,56,0.345497409,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,between 1 - 5 percentage,above 10 percentage,Green
7101,CASH IN HAND,36-48,9,2015,39,80000,80000-100000,41,0.592036522,Medium_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Red
7102,CASH IN HAND,48-60,11,2013,49,90000,80000-100000,40,0.776549524,Medium_risk_sub_purpose_code,40-60,between 50 - 100 percentage,between 5 - 10 percentage,between 5- 10 percentage,Green
7104,CASH IN HAND,60+,12,2012,61,80000,80000-100000,49,0.517040503,Medium_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
